城市,方言区,你,我,他,吃饭,喝水,什么
北京,北京官话,你,我,他,吃饭,喝水,什么
天津,冀鲁官话,你,我,他,吃饭,喝水,什么
哈尔滨,东北官话,你,我,他,吃饭,喝水,啥
沈阳,东北官话,你,我,他,吃饭,喝水,啥
长春,东北官话,你,我,他,吃饭,喝水,啥
济南,冀鲁官话,你,我,他,吃饭,喝水,啥
青岛,胶辽官话,你,我,他,吃饭,喝水,什么
郑州,中原官话,你,我,他,吃饭,喝水,啥
西安,中原官话,你,额,他,吃饭,喝水,啥
兰州,兰银官话,你,我,他,吃饭,喝水,啥
银川,兰银官话,你,我,他,吃饭,喝水,啥
南京,江淮官话,你,我,他,吃饭,喝水,什么
合肥,江淮官话,你,我,他,吃饭,喝水,什么
武汉,西南官话,你,我,他,吃饭,喝水,么斯
成都,西南官话,你,我,他,吃饭,喝水,啥子
重庆,西南官话,你,我,他,吃饭,喝水,啥子
贵阳,西南官话,你,我,他,吃饭,喝水,哪样
昆明,西南官话,你,我,他,吃饭,喝水,哪样
南宁,西南官话,你,我,他,吃饭,喝水,什么
呼和浩特,兰银官话,你,我,他,吃饭,喝水,啥
太原,晋语并州片,你,我,他,吃饭,喝水,甚
大同,晋语大包片,你,我,他,吃饭,喝水,甚
长治,晋语上党片,你,我,他,吃饭,喝水,甚
上海,吴语太湖片,侬,我,伊,吃饭,吃茶,啥
苏州,吴语太湖片,侬,我,伊,吃饭,吃茶,啥
杭州,吴语太湖片,侬,我,伊,吃饭,吃茶,啥
宁波,吴语明州片,侬,我,伊,吃饭,吃茶,啥
温州,吴语瓯江片,你,我,伊,吃饭,吃茶,甚
绍兴,吴语绍兴片,侬,我,伊,吃饭,吃茶,啥
无锡,吴语太湖片,侬,我,伊,吃饭,吃茶,啥
常州,吴语太湖片,侬,我,伊,吃饭,吃茶,啥
金华,吴语婺州片,侬,我,伊,吃饭,吃茶,啥
长沙,湘语长益片,你,我,佢,呷饭,呷水,么子
湘潭,湘语长益片,你,我,佢,呷饭,呷水,么子
衡阳,湘语衡州片,你,我,佢,呷饭,呷水,么子
邵阳,湘语娄邵片,你,我,佢,呷饭,呷水,么子
南昌,赣语昌都片,你,我,佢,恰饭,喝水,什哩
九江,赣语昌都片,你,我,佢,恰饭,喝水,什哩
赣州,赣语赣南片,你,我,佢,恰饭,喝水,什哩
抚州,赣语抚广片,你,我,佢,恰饭,喝水,什哩
梅州,客家话粤台片,你,涯,佢,食饭,饮水,么个
惠州,客家话粤台片,你,涯,佢,食饭,饮水,么个
赣州客家,客家话赣南片,你,涯,佢,食饭,饮水,么个
龙岩,客家话闽西片,你,涯,佢,食饭,饮水,么个
韶关,客家话粤北片,你,涯,佢,食饭,饮水,么个
广州,粤语广府片,你,我,佢,食饭,饮水,咩
佛山,粤语广府片,你,我,佢,食饭,饮水,咩
东莞,粤语广府片,你,我,佢,食饭,饮水,咩
中山,粤语广府片,你,我,佢,食饭,饮水,咩
珠海,粤语广府片,你,我,佢,食饭,饮水,咩
深圳,粤语广府片,你,我,佢,食饭,饮水,咩
南宁粤,粤语邕浔片,你,我,佢,食饭,饮水,咩
梧州,粤语广府片,你,我,佢,食饭,饮水,咩
福州,闽语闽东片,汝,我,伊,食饭,饮水,什乇
厦门,闽语闽南片,汝,我,伊,食飯,饮水,啥物
泉州,闽语闽南片,汝,我,伊,食飯,饮水,啥物
漳州,闽语闽南片,汝,我,伊,食飯,饮水,啥物
莆田,闽语莆仙片,汝,我,伊,食饭,饮水,曷个
宁德,闽语闽东片,汝,我,伊,食饭,饮水,什乇
汕头,闽语闽南片,汝,我,伊,食飯,饮水,啥物
潮州,闽语闽南片,汝,我,伊,食飯,饮水,啥物
揭阳,闽语闽南片,汝,我,伊,食飯,饮水,啥物
海口,闽语琼文片,你,我,伊,吃饭,喝水,咪
黄山,徽语绩歙片,你,我,佢,吃饭,喝水,么事
屯溪,徽语绩歙片,你,我,佢,吃饭,喝水,么事
绩溪,徽语绩歙片,你,我,佢,吃饭,喝水,么事
南宁平,平话南宁片,你,我,佢,吃饭,喝水,什么
柳州,平话柳州片,你,我,佢,吃饭,喝水,什么
桂林,平话桂林片,你,我,佢,吃饭,喝水,什么
